"Ajatempel (UTC)";"Kuupäev (Eesti aeg)";"NPS Läti";"NPS Leedu";"NPS Soome";"NPS Eesti"
"1696107600";"01.10.2023 00:00";"2,57";"2,57";"0";"2,57"
"1696111200";"01.10.2023 01:00";"-0,01";"-0,01";"-1,99";"-0,01"
"1696114800";"01.10.2023 02:00";"0";"0";"-2,02";"0"
"1696118400";"01.10.2023 03:00";"0";"0";"-2,08";"0"
"1696122000";"01.10.2023 04:00";"0";"0";"-2,09";"0"
"1696125600";"01.10.2023 05:00";"4,44";"4,44";"-2,07";"4,44"
"1696129200";"01.10.2023 06:00";"1,7";"1,7";"-2,07";"1,7"
"1696132800";"01.10.2023 07:00";"84,79";"84,79";"-2";"84,79"
"1696136400";"01.10.2023 08:00";"88,08";"88,08";"-1,79";"88,08"
"1696140000";"01.10.2023 09:00";"82,1";"82,1";"-1,07";"82,1"
"1696143600";"01.10.2023 10:00";"62,73";"62,73";"-0,16";"62,73"
"1696147200";"01.10.2023 11:00";"40";"40";"0";"40"
"1696150800";"01.10.2023 12:00";"8,99";"8,99";"0,39";"8,99"
"1696154400";"01.10.2023 13:00";"0";"0";"-0,05";"0"
"1696158000";"01.10.2023 14:00";"-1,51";"-1,51";"-1,51";"-1,51"
"1696161600";"01.10.2023 15:00";"-0,7";"-0,7";"-0,7";"-0,7"
"1696165200";"01.10.2023 16:00";"1,53";"1,53";"1,53";"1,53"
"1696168800";"01.10.2023 17:00";"62,73";"62,73";"3,22";"62,73"
"1696172400";"01.10.2023 18:00";"99,38";"99,38";"4,79";"99,38"
"1696176000";"01.10.2023 19:00";"120,06";"120,06";"10,82";"120,06"
"1696179600";"01.10.2023 20:00";"130";"130";"47,01";"130"
"1696183200";"01.10.2023 21:00";"130";"130";"4,98";"130"
"1696186800";"01.10.2023 22:00";"115,16";"115,16";"4,88";"115,16"
"1696190400";"01.10.2023 23:00";"106,62";"106,62";"4,25";"106,62"
"1696194000";"02.10.2023 00:00";"99,97";"99,97";"3,59";"99,97"
"1696197600";"02.10.2023 01:00";"94,9";"94,9";"2,79";"94,9"
"1696201200";"02.10.2023 02:00";"93,17";"93,17";"2,78";"93,17"
"1696204800";"02.10.2023 03:00";"93,4";"93,4";"2,91";"93,4"
"1696208400";"02.10.2023 04:00";"92,02";"92,02";"3,15";"92,02"
"1696212000";"02.10.2023 05:00";"95,68";"95,68";"3,86";"95,68"
"1696215600";"02.10.2023 06:00";"99,33";"99,33";"20,01";"99,33"
"1696219200";"02.10.2023 07:00";"140,07";"140,07";"140,07";"140,07"
"1696222800";"02.10.2023 08:00";"206,42";"206,42";"206,42";"206,42"
"1696226400";"02.10.2023 09:00";"329,91";"329,91";"329,91";"329,91"
"1696230000";"02.10.2023 10:00";"200,08";"200,08";"200,08";"200,08"
"1696233600";"02.10.2023 11:00";"180,09";"180,09";"180,09";"180,09"
"1696237200";"02.10.2023 12:00";"140,02";"140,02";"140,02";"140,02"
"1696240800";"02.10.2023 13:00";"140,02";"140,02";"140,02";"140,02"
"1696244400";"02.10.2023 14:00";"131,82";"131,82";"131,82";"131,82"
"1696248000";"02.10.2023 15:00";"139,98";"139,98";"139,98";"139,98"
"1696251600";"02.10.2023 16:00";"140,08";"140,08";"140,08";"140,08"
"1696255200";"02.10.2023 17:00";"180,08";"180,08";"180,08";"180,08"
"1696258800";"02.10.2023 18:00";"200";"200";"200";"200"
"1696262400";"02.10.2023 19:00";"200,09";"200,09";"200,09";"200,09"
"1696266000";"02.10.2023 20:00";"243,3";"243,3";"50,01";"243,3"
"1696269600";"02.10.2023 21:00";"160,07";"160,07";"6,89";"160,07"
"1696273200";"02.10.2023 22:00";"120";"120";"5,01";"120"
